,LIQUIDITY_SHOCK_RECOVERY,OPERATING_EFFICIENCY_IMPROVEMENT,CAPEX_EFFICIENCY,PROFITABLE_SMALL_CAP,CASH_FLOW_MOMENTUM,REVENUE_ACCELERATION,LOW_LEVERAGE_QUALITY,OVERNIGHT_GAP_REVERSAL_REDUCED_TURNOVER,GROSS_PROFITABILITY_GROWTH,CASH_FLOW_MARGIN_IMPROVEMENT,QUALITY_MOMENTUM_COMPOSITE,LOW_ACCRUAL_MOMENTUM
LIQUIDITY_SHOCK_RECOVERY,1.0,0.11265574278049016,-0.1084841831931808,0.013812438382468671,0.0466029142506447,0.10547580429221474,-0.17988639569535522,0.12712489990273912,-0.006373097754555513,-0.12977088730213102,-0.067866764451918,-0.1886973173583374
OPERATING_EFFICIENCY_IMPROVEMENT,0.11265574278049016,1.0,0.3706157571982411,0.06348254859001748,0.6375758285169594,0.3057588567152765,0.12485485106914694,0.11520653108798232,0.4198723618724603,0.5245587355095284,0.6131706094444239,0.24280966287399255
CAPEX_EFFICIENCY,-0.1084841831931808,0.3706157571982411,1.0,0.1842366311441578,0.18840618278151036,0.28181314753287323,0.09299751964135683,-0.13855952195422375,0.30392964805616823,0.34740766399866874,0.24128289471247502,0.09704306302865545
PROFITABLE_SMALL_CAP,0.013812438382468671,0.06348254859001748,0.1842366311441578,1.0,0.020297666988116598,0.19120131061446358,0.05187474077562431,0.06741623943322418,0.06562461031875998,0.04759618862129104,0.09016372700816516,-0.019947123214196102
CASH_FLOW_MOMENTUM,0.0466029142506447,0.6375758285169594,0.18840618278151036,0.020297666988116598,1.0,0.13530813366117322,0.12199528966540066,0.03033322972123238,0.2583852120545108,0.6472648940886097,0.5336627869421164,0.06980049721688511
REVENUE_ACCELERATION,0.10547580429221474,0.3057588567152765,0.28181314753287323,0.19120131061446358,0.13530813366117322,1.0,-0.06168532816636857,0.10382251594270617,0.0770013577151464,0.05522409112552943,0.19888136370488327,-0.008336594908299374
LOW_LEVERAGE_QUALITY,-0.17988639569535522,0.12485485106914694,0.09299751964135683,0.05187474077562431,0.12199528966540066,-0.06168532816636857,1.0,0.12797943803366568,0.23469050814322961,0.3840098000554068,0.2928471961295861,0.18261061219028446
OVERNIGHT_GAP_REVERSAL_REDUCED_TURNOVER,0.12712489990273912,0.11520653108798232,-0.13855952195422375,0.06741623943322418,0.03033322972123238,0.10382251594270617,0.12797943803366568,1.0,-0.008379935874101335,-0.061126813410822316,0.06303809560607121,0.19518398536258688
GROSS_PROFITABILITY_GROWTH,-0.006373097754555513,0.4198723618724603,0.30392964805616823,0.06562461031875998,0.2583852120545108,0.0770013577151464,0.23469050814322961,-0.008379935874101335,1.0,0.2460046692871073,0.2845881334288845,0.11143279767608372
CASH_FLOW_MARGIN_IMPROVEMENT,-0.12977088730213102,0.5245587355095284,0.34740766399866874,0.04759618862129104,0.6472648940886097,0.05522409112552943,0.3840098000554068,-0.061126813410822316,0.2460046692871073,1.0,0.6317447112613509,0.1785695615481487
QUALITY_MOMENTUM_COMPOSITE,-0.067866764451918,0.6131706094444239,0.24128289471247502,0.09016372700816516,0.5336627869421164,0.19888136370488327,0.2928471961295861,0.06303809560607121,0.2845881334288845,0.6317447112613509,1.0,0.20407285952072227
LOW_ACCRUAL_MOMENTUM,-0.1886973173583374,0.24280966287399255,0.09704306302865545,-0.019947123214196102,0.06980049721688511,-0.008336594908299374,0.18261061219028446,0.19518398536258688,0.11143279767608372,0.1785695615481487,0.20407285952072227,1.0
