strategy_id,test_period_start,test_period_end,observations,gross_cumulative_return,net_cumulative_return,annualized_net_return,net_sharpe,annualized_volatility,max_drawdown,average_daily_turnover,annualized_turnover,total_cost_drag,preliminary_oos_start,preliminary_oos_convention,preliminary_oos_net_return,preliminary_oos_sharpe,average_eligible_count,minimum_eligible_count,recommendation,research_status,live_allocation_approved,trade_cost_reconciliation_error,double_cost_net_return,double_cost_sharpe,delayed_execution_net_return,delayed_execution_sharpe,latest_max_abs_weight,latest_weight_hhi,maximum_active_correlation,average_active_correlation,highest_active_correlation_strategy,marginal_combined_portfolio_sharpe,actual_universe_used,economic_rationale,labels,execution_enabled,eligible_portfolio_days,classification,classification_reason
RESIDUAL_SHORT_TERM_REVERSAL,2018-01-02,2026-06-09,2120,0.2248265547528081,0.13382160368749885,0.015041078889847181,0.19822875377392474,0.10079900682603335,-0.24316374719362055,0.07284607627460693,18.357211221200945,0.07721684085108335,2023-11-24,Chronological 70/30 split; PRELIMINARY_OOS,-0.0009112686231715905,0.04352885894036876,177.36267605633802,148,REVIEW,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,0.0,0.049515277440488115,0.10710909408242418,0.11302017096215011,0.17670842864000816,0.011627906976744186,0.011627906976744186,0.23238947808344346,0.09185793775586437,C3A1_015,0.03803267237392072,OHLCV_UNIVERSE,Fade five-day returns after removing the lagged broad-market component.,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH ONLY,False,1988,REPAIR,One or more strict ACTIVE gates failed; negative or low-Sharpe candidates are not promoted.
VOLUME_PRICE_DIVERGENCE_REVERSAL,2018-01-02,2026-06-09,2120,-0.23862298323757436,-0.29729797852246265,-0.04107197568334353,-0.3312262285822184,0.10875081666286708,-0.4324817770145142,0.07565271676167092,19.06448462394107,0.08019187976737117,2023-11-24,Chronological 70/30 split; PRELIMINARY_OOS,-0.1315341294089175,-0.5720070556131175,177.71699951290793,148,REJECT_CANDIDATE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,1.3877787807814457e-17,-0.3514921624524755,-0.41867269410959457,-0.3764990495990147,-0.4677921953949051,0.011363636363636364,0.011363636363636364,0.18509532563492895,0.04772157238214109,C3A1_015,-0.05657452017215092,OHLCV_UNIVERSE,Fade short-term price moves when recent volume diverges above its trailing baseline.,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH ONLY,False,2053,ARCHIVED,Full-period and preliminary OOS returns are both non-positive.
RANGE_COMPRESSION_BREAKOUT,2018-01-02,2026-06-09,2120,0.08126377961117526,0.0025533691233063927,0.0003031728029345704,0.056618040873681316,0.1074307351637243,-0.1820741680326875,0.07126206643108193,17.958040740632647,0.07553779041694683,2023-11-24,Chronological 70/30 split; PRELIMINARY_OOS,0.05759438841611764,0.27948177500221605,177.26683544303796,148,REVIEW,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,0.0,-0.07048158899087975,-0.02693462368342112,0.08818002475559772,0.1476550846214258,0.011627906976744186,0.011627906976744184,0.41135000671459726,0.12914160559348925,C3A1_015,-0.02407572111078715,OHLCV_UNIVERSE,Prefer directional breakouts following unusually compressed prior trading ranges.,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH ONLY,False,1975,REPAIR,One or more strict ACTIVE gates failed; negative or low-Sharpe candidates are not promoted.
LOW_BETA_DEFENSIVE,2018-01-02,2026-06-09,2120,-0.29512116792519305,-0.3070656804012605,-0.04266618978796621,-0.1694601800831154,0.17092325783539508,-0.44574470520129195,0.01607956366897052,4.052050044580571,0.017044337489108753,2023-11-24,Chronological 70/30 split; PRELIMINARY_OOS,-0.22999242777007456,-0.5446921725023389,177.40190667335676,148,REJECT_CANDIDATE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,0.0,-0.3188102314703626,-0.1812807662192055,-0.2970672223498807,-0.16120609314154719,0.011627906976744186,0.011627906976744184,0.6305053283640281,0.2253050160922204,C3A1_013,-0.09241218287976338,OHLCV_UNIVERSE,Prefer lower lagged broad-market beta.,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH ONLY,False,1993,ARCHIVED,Full-period and preliminary OOS returns are both non-positive.
IDIOSYNCRATIC_VOLATILITY_REVERSAL,2018-01-02,2026-06-09,2120,-0.0774252135996667,-0.1461615370385989,-0.018607412019954528,-0.14552609935913752,0.09688794359853277,-0.33918749052814956,0.0730090575551415,18.398282503895658,0.07738960100844999,2023-11-24,Chronological 70/30 split; PRELIMINARY_OOS,-0.0313992151049185,-0.10241725423813908,177.16839378238342,147,REJECT_CANDIDATE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,0.0,-0.20982593111216696,-0.24020415180986385,-0.18040976284629462,-0.20450147497449545,0.011904761904761904,0.011904761904761904,0.23473464978011374,0.07894090265525544,C3A1_015,-0.009975202623965895,OHLCV_UNIVERSE,Fade short-term residual moves scaled by lagged idiosyncratic volatility.,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH ONLY,False,1930,ARCHIVED,Full-period and preliminary OOS returns are both non-positive.
LIQUIDITY_ADJUSTED_MOMENTUM,2018-01-02,2026-06-09,2120,1.0157058638707612,0.9458354275165914,0.08234432112639789,0.6619352951612395,0.13293269800680674,-0.20600211580288785,0.03330238942055556,8.39220213398,0.03530053278578889,2023-11-24,Chronological 70/30 split; PRELIMINARY_OOS,0.3419878488395014,1.0337802697134457,177.40200501253133,148,KEEP_CANDIDATE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,6.938893903907228e-18,0.8783627553606848,0.6303701424111591,0.9210226135919111,0.6518655585173614,0.011627906976744186,0.011627906976744184,0.7798222526301681,0.3311659757888445,C3A1_003,0.005068059240528777,OHLCV_UNIVERSE,Prefer six-to-one-month momentum with stronger lagged dollar-volume support.,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH ONLY,False,1995,ACTIVE,"Passed positive return, OOS, Sharpe, robustness, coverage, correlation, and marginal portfolio gates."
GAP_VOLUME_CONTINUATION,2018-01-02,2026-06-09,2120,-0.06349331504184341,-0.13456246066412714,-0.017032086982805672,-0.21424221857538114,0.06906951400196101,-0.34139773558576814,0.07442560747050626,18.755253082567577,0.07889114391873664,2023-11-24,Chronological 70/30 split; PRELIMINARY_OOS,0.06662769604247254,0.4263099665105365,177.7089407191448,148,REVIEW,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,0.0,-0.20028742557321622,-0.34928496307056306,-0.11327286041441165,-0.17408005330512674,0.011363636363636364,0.011363636363636364,0.08302069122425479,0.029978389548127284,C3A1_015,-0.02373266623722059,OHLCV_UNIVERSE,Follow prior overnight gaps confirmed by abnormal volume.,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH ONLY,False,2058,REPAIR,One or more strict ACTIVE gates failed; negative or low-Sharpe candidates are not promoted.
DRAWDOWN_RECOVERY,2018-01-02,2026-06-09,2120,-0.10384290310800792,-0.1692216151794781,-0.021796141688708137,-0.12260886805214713,0.1204452203366274,-0.3721354194836314,0.0714372767411018,18.002193738757654,0.0757235133455679,2023-11-24,Chronological 70/30 split; PRELIMINARY_OOS,0.21801893818894125,0.7588180070650745,177.40200501253133,148,REVIEW,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,0.0,-0.22987556258216923,-0.19721879641440992,-0.12273705482365904,-0.0718883596508066,0.011627906976744186,0.011627906976744186,0.2614800481319787,0.08413924969096864,C3A1_015,-0.04175463245446476,OHLCV_UNIVERSE,Prefer positive short-term recovery while still below the prior rolling high.,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH ONLY,False,1995,REPAIR,One or more strict ACTIVE gates failed; negative or low-Sharpe candidates are not promoted.
INTRADAY_STRENGTH_PERSISTENCE,2018-01-02,2026-06-09,2120,-0.17738611281614192,-0.2407589379326216,-0.032210330976523927,-0.2441774744191152,0.10950196255590239,-0.3977591198673286,0.07560992447754512,19.05370096834137,0.08014651994619781,2023-11-24,Chronological 70/30 split; PRELIMINARY_OOS,0.033519042544660094,0.17229765014663023,177.6875303250849,148,REVIEW,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,2.7755575615628914e-17,-0.29929369813012885,-0.33095994869925766,-0.14231058644669003,-0.11602270649625579,0.011111111111111112,0.011111111111111113,0.35654550202457025,0.08852169979251916,OVERNIGHT_INTRADAY_ENSEMBLE,-0.03444686646694417,OHLCV_UNIVERSE,Prefer persistent prior open-to-close strength.,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH ONLY,False,2061,REPAIR,One or more strict ACTIVE gates failed; negative or low-Sharpe candidates are not promoted.
DISPERSION_CONDITIONAL_MOMENTUM,2018-01-02,2026-06-09,2120,0.5125396701561808,0.4743223210386043,0.04722555969471509,0.4121266886532446,0.13373741386436958,-0.2266270205275437,0.024183027436440952,6.09412291398312,0.02563400908262741,2023-11-24,Chronological 70/30 split; PRELIMINARY_OOS,0.28065144243076623,0.9081645161664792,177.02573203194322,148,KEEP_CANDIDATE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,0.0,0.4370524457117151,0.38940973201564627,0.46618991847675106,0.40749993884312175,0.011627906976744186,0.011627906976744184,0.7303612893460083,0.3299471252868465,C3A2_008,-0.03551396479584634,OHLCV_UNIVERSE,Apply medium-term momentum only when cross-sectional return dispersion is elevated.,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH ONLY,False,1127,REPAIR,One or more strict ACTIVE gates failed; negative or low-Sharpe candidates are not promoted.
